IES.PADRE,IES_NOMBRE,SECTOR_IES,CIUDAD,Programa.Académico,NIVEL_ACADÉMICO,Sexo,Año,Graduados
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA DE PETROLEOS,PREGRADO,HOMBRE,2003,21
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA DE SISTEMAS,PREGRADO,HOMBRE,2014,47
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA DE SISTEMAS,PREGRADO,HOMBRE,2002,30
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,GEOLOGIA,PREGRADO,MUJER,2012,17
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TRABAJO SOCIAL,PREGRADO,MUJER,2014,40
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,MEDICINA,PREGRADO,HOMBRE,2002,63
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA MECANICA,PREGRADO,HOMBRE,2001,45
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,LICENCIATURA EN MUSICA,PREGRADO,HOMBRE,2012,29
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,MEDICINA,PREGRADO,MUJER,2015,41
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ECONOMIA,PREGRADO,HOMBRE,2007,12
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ENFERMERIA,PREGRADO,MUJER,2012,20
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EMPRESARIAL,PREGRADO,HOMBRE,2001,43
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EN REGENCIA DE FARMACIA,PREGRADO,MUJER,2004,45
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EN REGENCIA DE FARMACIA,PREGRADO,MUJER,2010,44
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,LICENCIATURA EN MATEMATICAS,PREGRADO,MUJER,2010,14
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,MEDICINA,PREGRADO,HOMBRE,2004,34
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA ELECTRONICA,PREGRADO,HOMBRE,2004,27
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA INDUSTRIAL,PREGRADO,MUJER,2003,40
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EMPRESARIAL,PREGRADO,MUJER,2002,164
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA AGROPECUARIA,PREGRADO,HOMBRE,2012,23
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,BIOLOGIA,PREGRADO,MUJER,2010,7
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,LICENCIATURA EN ESPAÑOL Y LITERATURA,PREGRADO,MUJER,2011,17
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,GESTION EMPRESARIAL,PREGRADO,MUJER,2012,59
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA INDUSTRIAL,PREGRADO,HOMBRE,2001,21
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EN REGENCIA DE FARMACIA,PREGRADO,MUJER,2001,14
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA QUIMICA,PREGRADO,MUJER,2004,23
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ESPECIALIZACION EN ALTA GERENCIA,POSGRADO,HOMBRE,2003,195
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA CIVIL,PREGRADO,HOMBRE,2003,22
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA AGROPECUARIA,PREGRADO,HOMBRE,2003,14
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ECONOMIA,PREGRADO,HOMBRE,2012,19
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA AGROPECUARIA,PREGRADO,HOMBRE,2010,10
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,GESTION EMPRESARIAL,PREGRADO,MUJER,2002,67
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA MECANICA,PREGRADO,HOMBRE,2012,60
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA QUIMICA,PREGRADO,HOMBRE,2012,38
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,DERECHO,PREGRADO,HOMBRE,2011,15
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA INDUSTRIAL,PREGRADO,MUJER,2009,36
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,HISTORIA,PREGRADO,HOMBRE,2008,3
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,LICENCIATURA EN EDUCACION- IDIOMAS,PREGRADO,HOMBRE,2004,14
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ECONOMIA,PREGRADO,MUJER,2011,25
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA QUIMICA,PREGRADO,HOMBRE,2011,34
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA MECANICA,PREGRADO,HOMBRE,2008,30
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EMPRESARIAL,PREGRADO,MUJER,2014,49
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ESPECIALIZACION EN EVALUACION Y GERENCIA DE PROYECTOS,POSGRADO,MUJER,2010,1
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EMPRESARIAL,PREGRADO,MUJER,2009,46
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA QUIMICA,PREGRADO,MUJER,2011,51
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA MECANICA,PREGRADO,HOMBRE,2015,67
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA QUIMICA,PREGRADO,HOMBRE,2007,39
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,LICENCIATURA EN MUSICA,PREGRADO,HOMBRE,2015,20
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EMPRESARIAL,PREGRADO,MUJER,2010,85
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,LICENCIATURA EN MATEMATICAS,PREGRADO,MUJER,2004,4
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,MAESTRIA EN QUIMICA,POSGRADO,HOMBRE,2001,2
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TECNOLOGIA EMPRESARIAL,PREGRADO,MUJER,2001,170
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA QUIMICA,PREGRADO,HOMBRE,2014,48
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,FISIOTERAPIA,PREGRADO,MUJER,2010,23
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA MECANICA,PREGRADO,HOMBRE,2003,36
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,INGENIERIA ELECTRONICA,PREGRADO,MUJER,2010,6
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,ESPECIALIZACION EN TEORIA  METODOS Y TECNICAS DE INVESTIGACION SOCIAL,POSGRADO,MUJER,2003,36
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,OFICIAL,SANTANDER,TRABAJO SOCIAL,PREGRADO,MUJER,2003,17
