IES.PADRE,Institución de Educación Superior (IES),Departamento de domicilio de la IES,Municipio dedomicilio de la IES,Programa Académico,Id Género,Año,Total Matriculados
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,TECNOLOGIA EMPRESARIAL,2,2015,387
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,TECNOLOGIA EMPRESARIAL,1,2015,141
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,DISEÑO INDUSTRIAL,2,2015,173
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,DISEÑO INDUSTRIAL,1,2015,150
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,LICENCIATURA EN MUSICA,2,2015,94
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,LICENCIATURA EN MUSICA,1,2015,205
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,LICENCIATURA EN MATEMATICAS,2,2015,94
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,LICENCIATURA EN MATEMATICAS,1,2015,95
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,ENFERMERIA,2,2015,183
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,ENFERMERIA,1,2015,47
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,FISIOTERAPIA,2,2015,156
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,FISIOTERAPIA,1,2015,45
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,MEDICINA,2,2015,347
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,MEDICINA,1,2015,361
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,NUTRICION Y DIETETICA,2,2015,153
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,NUTRICION Y DIETETICA,1,2015,25
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,TRABAJO SOCIAL,2,2015,402
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,TRABAJO SOCIAL,1,2015,78
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,GESTION EMPRESARIAL,2,2015,238
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,GESTION EMPRESARIAL,1,2015,68
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,HISTORIA,2,2015,12
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,HISTORIA,1,2015,16
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA CIVIL,2,2015,497
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA CIVIL,1,2015,908
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA DE PETROLEOS,2,2015,427
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA DE PETROLEOS,1,2015,896
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA DE SISTEMAS,2,2015,119
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA DE SISTEMAS,1,2015,400
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA ELECTRICA,2,2015,198
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA ELECTRICA,1,2015,683
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA INDUSTRIAL,2,2015,925
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA INDUSTRIAL,1,2015,659
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA MECANICA,2,2015,157
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA MECANICA,1,2015,1140
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA METALURGICA,2,2015,176
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA METALURGICA,1,2015,327
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA QUIMICA,2,2015,763
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,INGENIERIA QUIMICA,1,2015,670
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,BIOLOGIA,2,2015,131
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,BIOLOGIA,1,2015,146
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,FISICA,2,2015,34
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,FISICA,1,2015,121
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,SANTANDER,BUCARAMANGA,GEOLOGIA,2,2015,200
